regno,charity_name,legacy_income,voluntary_income,total_income,total_expenditure
255460,LEEDS THEATRE TRUST LIMITED,0,653218,9716250,9413555
249972,CANTERBURY DIOCESAN BOARD OF FINANCE,0,272751,9698785,9649420
1103326,WOODARD SCHOOLS (NOTTINGHAMSHIRE) LIMITED,4247,33819,9676056,9112010
328378,TELFORD CITY TECHNOLOGY COLLEGE TRUST LIMITED,NA,NA,9674364,8923680
1096790,THE INSTITUTION OF OCCUPATIONAL SAFETY AND HEALTH,0,0,9648000,9132000
207823,THE ROYAL SOCIETY FOR THE PREVENTION OF ACCIDENTS,0,0,9638755,10477457
1058056,THE SCIENCE ENGINEERING TECHNOLOGY MATHEMATICS NETWORK,0,770300,9626477,8526242
311270,LANGLEY SCHOOL,104220,104220,9608833,7373456
306130,COMMUNITY DEVELOPMENT FOUNDATION,NA,NA,9605071,13947506
1113729,THOMAS POCKLINGTON TRUST LIMITED,0,425000,9598000,8912000
1063717,AUTISM ANGLIA,0,147000,9583000,9368000
1074648,OPTIMA COMMUNITY ASSOCIATION,0,0,9548000,10325000
236803,THE DAUGHTERS OF CHARITY OF ST VINCENT DE PAUL,13652,2554942,9539419,10018286
1102114,KINGSWAY INTERNATIONAL CHRISTIAN CENTRE,0,7697053,9478508,10100781
291824,TWIN,0,0,9465518,9444955
258085,ST ANN'S HOSPICE,1703226,3654403,9449489,10234032
1097271,BRITISH SAFETY COUNCIL,0,0,9448153,11103998
1008196,OPERATION MOBILISATION,164392,8978377,9445370,9501486
1001127,UNIVERSITIES UK,0,805368,9439140,8495963
1000851,AMANAT CHARITY TRUST,0,0,9436419,6468151
248226,THE INSTITUTE OF LEADERSHIP AND MANAGEMENT,0,0,9431149,8225064
255424,ROYAL EXCHANGE THEATRE COMPANY LIMITED,0,4133000,9430000,10696000
1102759,TOMORROW'S PEOPLE TRUST LIMITED,0,1640296,9426136,8022812
312064,THE SAINT JOHN'S FOUNDATION SCHOOL,30000,410706,9421216,8040166
297540,THE VIRGIN FOUNDATION,0,9505000,9396000,2452000
233236,"DOMINICAN SISTERS (THIRD ORDER) CONGREGATION OF NEWCASTLE NATAL (ESTABLISHED AT BUSHEY HEATH, HERTS)",69593,1168715,9390864,10054733
230791,THE SALVATION ARMY OFFICERS' PENSION FUND,0,9370228,9370228,7730711
233977,CLIFTON DIOCESAN TRUST,779000,6063000,9364000,8768000
1079501,THE ANGEL FOUNDATION,0,8903474,9348065,10883310
213121,THE CENTRAL YOUNG MEN'S CHRISTIAN ASSOCIATION,245000,1545000,9340000,10662000
502791,THE GUY PILKINGTON MEMORIAL HOME LIMITED,0,2830,9329903,9080917
310208,"QUEEN'S COLLEGE, TAUNTON",0,43858,9319076,9473167
1103958,THE WESTMINSTER ACADEMY (WESTBOURNE GREEN),NA,NA,9313778,10535569
525934,KING'S SCHOOL,0,178000,9311000,8829000
1115098,CHIGWELL SCHOOL,0,397743,9308632,8162695
525761,THE UNITED WORLD COLLEGE OF THE ATLANTIC LIMITED,0,1333247,9306462,8286195
1126997,MEMRALIFE GROUP,0,425050,9292744,10644113
