date,datetime,donations_file_path,fundraisers_file_path
2020-09-10,2020-09-10T08:00:12Z,data/just_giving_data_snapshots/donations/donations2020-09-10.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-09-10.csv
2020-09-11,2020-09-11T08:00:08Z,data/just_giving_data_snapshots/donations/donations2020-09-11.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-09-11.csv
2020-10-07,2020-10-07T11:13:57Z,data/just_giving_data_snapshots/donations/donations2020-10-07.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-07.csv
2020-10-07,2020-10-07T11:13:57Z,data/just_giving_data_snapshots/donations/donations2020-10-07.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-07.csv
2020-10-11,2020-10-11T07:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-11.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-11.csv
2020-10-12,2020-10-12T07:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-12.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-12.csv
2020-10-13,2020-10-13T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-13.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-13.csv
2020-10-14,2020-10-14T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-14.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-14.csv
2020-10-15,2020-10-15T07:00:07Z,data/just_giving_data_snapshots/donations/donations2020-10-15.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-15.csv
2020-10-16,2020-10-16T07:00:07Z,data/just_giving_data_snapshots/donations/donations2020-10-16.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-16.csv
2020-10-17,2020-10-17T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-17.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-17.csv
2020-10-18,2020-10-18T07:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-18.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-18.csv
2020-10-19,2020-10-19T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-19.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-19.csv
2020-10-20,2020-10-20T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-20.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-20.csv
2020-10-21,2020-10-21T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-21.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-21.csv
2020-10-22,2020-10-22T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-22.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-22.csv
2020-10-23,2020-10-23T07:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-23.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-23.csv
2020-10-24,2020-10-24T07:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-24.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-24.csv
2020-10-25,2020-10-25T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-25.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-25.csv
2020-10-26,2020-10-26T08:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-26.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-26.csv
2020-10-27,2020-10-27T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-27.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-27.csv
2020-10-28,2020-10-28T08:00:05Z,data/just_giving_data_snapshots/donations/donations2020-10-28.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-28.csv
2020-10-29,2020-10-29T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-29.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-29.csv
2020-10-30,2020-10-30T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-30.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-30.csv
2020-10-31,2020-10-31T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-10-31.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-10-31.csv
2020-11-01,2020-11-01T08:00:05Z,data/just_giving_data_snapshots/donations/donations2020-11-01.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-01.csv
2020-11-02,2020-11-02T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-02.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-02.csv
2020-11-03,2020-11-03T08:00:06Z,data/just_giving_data_snapshots/donations/donations2020-11-03.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-03.csv
2020-11-04,2020-11-04T08:00:18Z,data/just_giving_data_snapshots/donations/donations2020-11-04.csv,data/just_giving_data_snapshots/fundraisers/fundraisers2020-11-04.csv
